頭金,支払金額
大砲,軍事兵器
スチーム,懸濁液
スチーム,煖房
溢れでる,溢流
溢れでる,煮る
マーティニ,カクテル
検閲官,調査員
検閲官,吏員
吃逆,息吹く
吃逆,息吹く
アンチモン鉛,Pb
紅土,泥
鈍ま,二本棒
鈍ま,二本棒
鈍ま,二本棒
鈍ま,二本棒
そば,間近
添,増
添,要素
流通させる,書き換える
食べ残し,食べ物
対合,作用
囲み,区劃
囲み,弓馬
疾病,病み煩い
疾病,容態
グラウンダー,打撃
病棟,棟
エアブラシ,噴霧器
エアブラシ,噴霧器
やけど,外傷
やけど,賊害
やけど,小疵
シンカー,ピッチ
からかい,軽口
からかい,嫌がらせ
レミング,げっ歯類
トーキングブック,録音媒体
マイル,尺度
マイル,尺度
マイル,尺度
読み,言語活動
人並み,条件
人並み,条件
放送中断,休み
アレグロ,テンポ
アレグロ,テンポ
ちんぷんかん,内容
絶頂,ピリオド
絶頂,場所
絶頂,貫徹
絶頂,程度
絶頂,程度
絶頂,フェーズ
絶頂,大きな出来事
絶頂,ハード
ビリヤードルーム,室
人付き,社会活動
質量欠損,質量
マラリア蚊,蚊
取成,関与
連鎖,構成子
空間性,性質
随順,従う
逕庭,差異
地殻,レイヤ
赤らめる,褪せる
目明かし,警官
サイクロン,暴風
色女,女子
色女,色
級数,多項式
級数,連なり
表示度数,資料
乗合馬車,タイカラー
ドーラン,化粧
日本人,アジア人
不確定度,性状
交ぜ合わせる,入換える
間がら,結付き
間がら,結付き
法哲学,哲学
讚美歌,スピリチュアル
金魚草,観賞花
加水分解,反応
加水分解,反応
二塩基酸,酸
ポテトサラダ,サラダ
バラスト,マティエール
嫌疑者,個人
嫌疑者,訴訟当事者
性別,種別
報復,返し
報復,処罰
報復,攻撃
報復,争う
報復,返し
報復,処罰
報復,攻撃
報復,争う
損なう,抗する
損なう,入換える
損なう,苦しめる
損なう,ぶち毀す
損なう,掻き立てる
損なう,ではある
人民戦線,提携
日づけ,暦日
日づけ,暦月
日づけ,暦年
日づけ,太陽日
フライス盤,形削り盤
デモクラット,政客
デモクラット,提案者
東部時間,標準時
パリティ,ビット
松柏,維管束植物
サクラソウ,草
秘書官,お手伝い
旨趣,考え
旨趣,辞意
やせ馬,乗り馬
助成金,補助
助成金,補助
克復,治癒
フロッピ,マグネティックディスク
御手伝いさん,下男
トッフィー,飴玉
モラリティー,性状
ステート,行政区画
ステート,行政区画
ダブルベース,擦弦楽器
ダブルベース,ベース
怨む,厭う
怨む,憶える
フクロウ,猛禽
テレビ放送,放送
テレビ放送,放送
無縁墓地,共同墓地
管弦楽法,編曲
被膜,膜
噛みこむ,握緊める
大衆,諸人
大衆,集まり
大衆,諸人
サイレントムービー,ムーヴィー
市場,業界
市場,小売り店
市場,アクティビティー
市場,社会経済的階級
摸倣,写し
利巧,アドヴァンテージ
利巧,長所
利巧,ノーハウ
利巧,アドヴァンテージ
利巧,長所
利巧,ノーハウ
リセット,機器
リセット,設定
リセット,決める
リセット,機器
リセット,設定
リセット,決める
雄捩子,螺旋釘
表徴,信号
表徴,手蔓
表徴,信号
ノルアドレナリン,カテコールアミン
ノルアドレナリン,血管収縮薬
生まれ育つ,開ける
生まれ育つ,開ける
考慮すべきこと,見聞
採用,大成
